datetime;%nieba bez chmur;temperatura
01.03.2016 00:00;100;0
01.03.2016 01:00;100;1
01.03.2016 02:00;100;0
01.03.2016 03:00;90;-1
01.03.2016 04:00;90;0
01.03.2016 05:00;90;3
01.03.2016 06:00;90;7
01.03.2016 07:00;90;11
01.03.2016 08:00;90;12
01.03.2016 09:00;90;14
01.03.2016 10:00;90;14
01.03.2016 11:00;90;16
01.03.2016 12:00;90;17
01.03.2016 13:00;80;18
01.03.2016 14:00;90;16
01.03.2016 15:00;100;14
01.03.2016 16:00;100;13
01.03.2016 17:00;100;12
01.03.2016 18:00;100;8
01.03.2016 19:00;100;9
01.03.2016 20:00;100;7
01.03.2016 21:00;100;5
01.03.2016 22:00;100;5
01.03.2016 23:00;100;4
02.03.2016 00:00;100;3
02.03.2016 01:00;100;3
02.03.2016 02:00;100;3
02.03.2016 03:00;100;3
02.03.2016 04:00;90;8
02.03.2016 05:00;80;11
02.03.2016 06:00;80;12
02.03.2016 07:00;80;13
02.03.2016 08:00;80;15
02.03.2016 09:00;80;17
02.03.2016 10:00;80;18
02.03.2016 11:00;80;18
02.03.2016 12:00;80;19
02.03.2016 13:00;80;19
02.03.2016 14:00;80;19
02.03.2016 15:00;90;16
02.03.2016 16:00;80;15
02.03.2016 17:00;90;12
02.03.2016 18:00;90;9
02.03.2016 19:00;100;9
02.03.2016 20:00;100;10
02.03.2016 21:00;100;10
02.03.2016 22:00;100;7
02.03.2016 23:00;100;6
03.03.2016 00:00;100;4
03.03.2016 01:00;100;4
03.03.2016 02:00;100;3
03.03.2016 03:00;100;4
03.03.2016 04:00;100;5
03.03.2016 05:00;90;8
03.03.2016 06:00;90;12
03.03.2016 07:00;90;14
03.03.2016 08:00;90;17
03.03.2016 09:00;90;19
03.03.2016 10:00;90;22
03.03.2016 11:00;90;22
03.03.2016 12:00;90;22
03.03.2016 13:00;90;21
03.03.2016 14:00;90;19
03.03.2016 15:00;90;17
03.03.2016 16:00;90;15
03.03.2016 17:00;90;14
03.03.2016 18:00;100;13
03.03.2016 19:00;100;12
03.03.2016 20:00;100;10
03.03.2016 21:00;100;8
03.03.2016 22:00;100;7
03.03.2016 23:00;100;7
04.03.2016 00:00;100;7
04.03.2016 01:00;100;7
04.03.2016 02:00;90;6
04.03.2016 03:00;90;5
04.03.2016 04:00;90;6
04.03.2016 05:00;90;8
04.03.2016 06:00;50;13
04.03.2016 07:00;50;14
04.03.2016 08:00;50;17
04.03.2016 09:00;80;18
04.03.2016 10:00;80;20
04.03.2016 11:00;80;20
04.03.2016 12:00;80;20
04.03.2016 13:00;80;20
04.03.2016 14:00;90;18
04.03.2016 15:00;90;16
04.03.2016 16:00;90;15
04.03.2016 17:00;90;11
04.03.2016 18:00;80;10
04.03.2016 19:00;90;8
04.03.2016 20:00;100;5
04.03.2016 21:00;100;5
04.03.2016 22:00;100;5
04.03.2016 23:00;100;5
05.03.2016 00:00;100;6
05.03.2016 01:00;100;5
05.03.2016 02:00;90;2
05.03.2016 03:00;90;3
05.03.2016 04:00;50;8
05.03.2016 05:00;50;9
05.03.2016 06:00;80;14
05.03.2016 07:00;80;15
05.03.2016 08:00;90;18
05.03.2016 09:00;90;19
05.03.2016 10:00;90;22
05.03.2016 11:00;90;22
05.03.2016 12:00;80;23
05.03.2016 13:00;80;22
05.03.2016 14:00;90;19
05.03.2016 15:00;90;16
05.03.2016 16:00;90;13
05.03.2016 17:00;90;12
05.03.2016 18:00;100;9
05.03.2016 19:00;100;9
05.03.2016 20:00;100;10
05.03.2016 21:00;100;7
05.03.2016 22:00;100;11
05.03.2016 23:00;100;11
06.03.2016 00:00;100;9
06.03.2016 01:00;90;9
06.03.2016 02:00;80;7
06.03.2016 03:00;80;6
06.03.2016 04:00;80;9
06.03.2016 05:00;80;10
06.03.2016 06:00;80;15
06.03.2016 07:00;80;15
06.03.2016 08:00;80;17
06.03.2016 09:00;80;16
06.03.2016 10:00;80;20
06.03.2016 11:00;80;19
06.03.2016 12:00;80;19
06.03.2016 13:00;80;19
06.03.2016 14:00;80;20
06.03.2016 15:00;90;17
06.03.2016 16:00;100;14
06.03.2016 17:00;100;13
